app_id,app_name,category,rating,reviews,file_size,installs,app_type,price,content_rating
1,Photo Editor and Candy Camera and Grid and ScrapBook,ART AND DESIGN,4.1,159,19M,10000,Free,0,Everyone
2,Coloring book moana,ART AND DESIGN,3.9,967,14M,500000,Free,0,Everyone
3,U Launcher Lite  FREE Live Cool Themes Hide Apps,ART AND DESIGN,4.7,87510,8.7M,5000000,Free,0,Everyone
4,Sketch - Draw and Paint,ART AND DESIGN,4.5,215644,25M,50000000,Free,0,Teen
5,Pixel Draw - Number Art Coloring Book,ART AND DESIGN,4.3,967,2.8M,100000,Free,0,Everyone
6,Paper flowers instructions,ART AND DESIGN,4.4,167,5.6M,50000,Free,0,Everyone
7,Smoke Effect Photo Maker - Smoke Editor,ART AND DESIGN,3.8,178,19M,50000,Free,0,Everyone
8,Infinite Painter,ART AND DESIGN,4.1,36815,29M,1000000,Free,0,Everyone
9,Garden Coloring Book,ART AND DESIGN,4.4,13791,33M,1000000,Free,0,Everyone
10,Kids Paint Free - Drawing Fun,ART AND DESIGN,4.7,121,3.1M,10000,Free,0,Everyone
11,Text on Photo - Fonteee,ART AND DESIGN,4.4,13880,28M,1000000,Free,0,Everyone
12,Name Art Photo Editor - Focus n Filters,ART AND DESIGN,4.4,8788,12M,1000000,Free,0,Everyone
13,Tattoo Name On My Photo Editor,ART AND DESIGN,4.2,44829,20M,10000000,Free,0,Teen
14,Mandala Coloring Book,ART AND DESIGN,4.6,4326,21M,100000,Free,0,Everyone
15,3D Color Pixel by Number - Sandbox Art Coloring,ART AND DESIGN,4.4,1518,37M,100000,Free,0,Everyone
16,Learn To Draw Kawaii Characters,ART AND DESIGN,3.2,55,2.7M,5000,Free,0,Everyone
17,Photo Designer - Write your name with shapes,ART AND DESIGN,4.7,3632,5.5M,500000,Free,0,Everyone
18,350 Diy Room Decor Ideas,ART AND DESIGN,4.5,27,17M,10000,Free,0,Everyone
19,FlipaClip - Cartoon animation,ART AND DESIGN,4.3,194216,39M,5000000,Free,0,Everyone
20,ibis Paint X,ART AND DESIGN,4.6,224399,31M,10000000,Free,0,Everyone
21,Logo Maker - Small Business,ART AND DESIGN,4,450,14M,100000,Free,0,Everyone
22,Boys Photo Editor - Six Pack and Men's Suit,ART AND DESIGN,4.1,654,12M,100000,Free,0,Everyone
23,Superheroes Wallpapers | 4K Backgrounds,ART AND DESIGN,4.7,7699,4.2M,500000,Free,0,Everyone 10
24,Mcqueen Coloring pages,ART AND DESIGN,0,61,7.0M,100000,Free,0,Everyone
25,HD Mickey Minnie Wallpapers,ART AND DESIGN,4.7,118,23M,50000,Free,0,Everyone
26,Harley Quinn wallpapers HD,ART AND DESIGN,4.8,192,6.0M,10000,Free,0,Everyone
27,Colorfit - Drawing and Coloring,ART AND DESIGN,4.7,20260,25M,500000,Free,0,Everyone
28,Animated Photo Editor,ART AND DESIGN,4.1,203,6.1M,100000,Free,0,Everyone
29,Pencil Sketch Drawing,ART AND DESIGN,3.9,136,4.6M,10000,Free,0,Everyone
30,Easy Realistic Drawing Tutorial,ART AND DESIGN,4.1,223,4.2M,100000,Free,0,Everyone
31,Pink Silver Bow Keyboard Theme,ART AND DESIGN,4.2,1120,9.2M,100000,Free,0,Everyone
32,Art Drawing Ideas,ART AND DESIGN,4.1,227,5.2M,50000,Free,0,Everyone
33,Anime Manga Coloring Book,ART AND DESIGN,4.5,5035,11M,100000,Free,0,Everyone
34,Easy Origami Ideas,ART AND DESIGN,4.2,1015,11M,100000,Free,0,Everyone
35,I Creative Idea,ART AND DESIGN,4.7,353,4.2M,10000,Free,0,Teen
36,How to draw Ladybug and Cat Noir,ART AND DESIGN,3.8,564,9.2M,100000,Free,0,Everyone
37,UNICORN - Color By Number and Pixel Art Coloring,ART AND DESIGN,4.7,8145,24M,500000,Free,0,Everyone
38,PIP Camera - PIP Collage Maker,ART AND DESIGN,4.7,158,11M,10000,Free,0,Everyone
39,How To Color Disney Princess - Coloring Pages,ART AND DESIGN,4,591,9.4M,500000,Free,0,Everyone
40,Drawing Clothes Fashion Ideas,ART AND DESIGN,4.2,117,15M,10000,Free,0,Everyone
41,Sad Poetry Photo Frames 2018,ART AND DESIGN,4.5,176,10M,100000,Free,0,Everyone
42,Paint Splash!,ART AND DESIGN,3.8,2206,1.2M,100000,Free,0,Everyone
43,Popsicle Sticks and Similar DIY Craft Ideas,ART AND DESIGN,4.2,26,12M,10000,Free,0,Everyone
44,Canva Poster banner card maker and graphic design,ART AND DESIGN,4.7,174531,24M,10000000,Free,0,Everyone
